EmployeeID,Component,Y16_Mean_Component_Score,Y15_Mean_Component_Score,Y14_Mean_Component_Score
0343494,1a,4.00,4.00,3.25
0343494,1e,4.00,4.00,3.00
0343494,2a,3.75,4.00,3.25
0343494,2d,4.00,4.00,3.50
0343494,3b,3.50,3.33,3.00
0343494,3c,3.75,3.50,3.00
0343494,3d,3.67,3.25,3.00
0343494,4e,3.00,3.50,3.00
0397392,1a,4.00,4.00,3.00
0397392,1e,4.00,4.00,3.00
0397392,2a,4.00,4.00,4.00
0397392,2d,4.00,4.00,4.00
0397392,3b,3.67,4.00,3.66
0397392,3c,4.00,4.00,3.66
0397392,3d,4.00,4.00,3.00
0397392,4e,3.00,4.00,4.00
0448483,1a,3.67,3.00,3.00
0448483,1e,3.50,3.00,2.60
0448483,2a,3.75,3.33,2.50
0448483,2d,4.00,3.33,2.66
0448483,3b,3.00,3.00,2.20
0448483,3c,3.33,3.25,2.00
0448483,3d,3.50,3.00,1.83
0448483,4e,3.00,3.00,2.50
0526263,1a,3.67,4.00,3.50
0526263,1e,4.00,4.00,3.50
0526263,2a,4.00,4.00,3.50
0526263,2d,4.00,4.00,4.00
0526263,3b,3.50,3.50,3.00
0526263,3c,4.00,3.75,3.20
0526263,3d,4.00,3.75,3.00
0526263,4e,3.50,3.00,3.66
0570714,1a,2.67,NULL,NULL
0570714,1e,2.25,NULL,NULL
0570714,2a,2.33,NULL,NULL
0570714,2d,2.50,NULL,NULL
0570714,3b,3.00,NULL,NULL
0570714,3c,2.50,NULL,NULL
0570714,3d,2.00,NULL,NULL
0570714,4e,2.50,NULL,NULL
0628127,1a,3.00,2.00,3.00
0628127,1e,2.00,1.80,2.50
0628127,2a,3.00,3.00,2.75
0628127,2d,2.00,2.75,2.50
0628127,3b,2.00,2.00,2.00
0628127,3c,2.00,2.25,1.75
0628127,3d,2.00,2.00,2.33
0628127,4e,3.00,3.00,4.00
0633596,1a,3.33,3.00,3.00
0633596,1e,3.33,3.00,3.00
0633596,2a,3.00,3.67,3.00
0633596,2d,3.00,3.33,3.00
0633596,3b,3.00,3.00,2.25
0633596,3c,3.00,3.25,3.00
0633596,3d,4.00,4.00,3.00
0633596,4e,3.00,3.00,3.00
0658657,1a,3.00,3.00,2.00
0658657,1e,3.00,3.00,3.00
0658657,2a,3.50,3.67,3.25
0658657,2d,3.75,3.67,3.00
0658657,3b,2.50,3.00,2.66
0658657,3c,2.67,3.25,2.75
0658657,3d,2.75,3.00,3.00
0658657,4e,3.00,2.00,3.00
0721577,1a,3.50,4.00,4.00
0721577,1e,3.50,4.00,3.00
0721577,2a,3.75,4.00,3.66
0721577,2d,4.00,4.00,3.00
0721577,3b,3.00,3.33,2.00
0721577,3c,3.25,3.75,2.66
0721577,3d,3.33,3.67,2.50
0721577,4e,3.00,3.00,2.00
0730456,1a,4.00,4.00,3.50
0730456,1e,4.00,4.00,3.00
0730456,2a,4.00,3.75,3.20
0730456,2d,4.00,4.00,3.33
0730456,3b,3.00,4.00,3.00
0730456,3c,3.33,3.67,3.20
0730456,3d,4.00,4.00,3.33
0730456,4e,3.00,3.00,3.00
0755452,1a,3.50,4.00,4.00
0755452,1e,3.50,4.00,3.66
0755452,2a,4.00,4.00,3.50
0755452,2d,4.00,4.00,3.00
0755452,3b,3.33,4.00,3.00
0755452,3c,3.25,4.00,3.20
0755452,3d,3.67,3.00,3.00
0755452,4e,3.33,4.00,3.50
0761667,1a,3.00,2.00,3.00
0761667,1e,2.40,2.20,3.00
0761667,2a,3.33,3.00,3.00
0761667,2d,3.00,3.00,3.00
0761667,3b,3.00,2.67,2.25
0761667,3c,3.00,2.33,2.25
0761667,3d,3.00,2.50,2.00
0761667,4e,3.00,3.00,3.00
0762628,1a,3.75,3.75,3.50
0762628,1e,3.75,3.50,3.00
0762628,2a,3.75,4.00,4.00
0762628,2d,4.00,3.00,4.00
0762628,3b,3.50,3.33,3.00
0762628,3c,3.50,3.00,3.66
0762628,3d,4.00,3.00,3.00
0762628,4e,3.25,3.00,3.00
0763055,1a,3.00,3.00,3.00
0763055,1e,3.00,3.00,3.00
0763055,2a,3.25,3.33,3.00
0763055,2d,3.25,3.67,3.00
0763055,3b,2.67,3.00,3.00
0763055,3c,2.75,3.00,3.00
0763055,3d,3.00,3.00,3.00
0763055,4e,3.00,3.00,3.00
0776407,1a,3.25,3.33,3.00
0776407,1e,3.00,3.67,3.00
0776407,2a,4.00,4.00,3.66
0776407,2d,3.75,4.00,3.66
0776407,3b,3.00,3.00,3.00
0776407,3c,3.00,3.25,3.33
0776407,3d,3.00,3.00,3.00
0776407,4e,3.00,3.50,3.00
0779828,1a,3.00,2.75,2.00
0779828,1e,2.50,2.25,3.00
0779828,2a,3.00,3.00,3.00
0779828,2d,3.33,2.50,2.50
0779828,3b,2.33,3.00,2.00
0779828,3c,3.00,2.25,2.50
0779828,3d,2.00,3.00,2.25
0779828,4e,3.00,3.00,3.00
0790999,1a,4.00,4.00,4.00
0790999,1e,4.00,4.00,4.00
0790999,2a,4.00,4.00,4.00
